TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Timaliidae_Kakamega_poliothorax	30840871							30840816			315488369		196052493					315488317			194022204	193882389				196052653							
Laniidae_Eurocephalus_anguitimens	19481528																				19481482												
Sylviidae_Chloropeta_gracilirostris								4691226																		254968144							
Anatidae_Dendrocygna_eytoni					2735620			190683544													190683670												
Anatidae_Aythya_marila					117371691			190683500						28916029							190683626												
Megapodiidae_Megapodius_reinwardt	27884319			27884671	27884391	37720690		27884343						27884655							27884715							27884771	27884799	17222899			
Furnariidae_Aphrastura_spinicauda					197254525			66276759					240018470					66276833			57232303	57232223						221063017	221062821				
Procellariidae_Pterodroma_magentae								162423144																									
Psittacidae_Cyanoramphus_saisetti								7341347																									
Formicariidae_Grallaricula_lineifrons								7715723													7715751												
Falconidae_Falco_araea								24110602																									
Fringillidae_Icterus_chrysater								6062881											297382504		6090638												
Fringillidae_Sturnella_neglecta					169882798			217315973											297382550		217316166												
Cisticolidae_Apalis_binotata																					160222006	160690383											
Burhinidae_Burhinus_superciliaris																												34597795					
Columbidae_Geotrygon_goldmani								321574881						321575064							321575013												
Picidae_Picoides_leucotos					15216855			15216766						14861616																			
Laridae_Gygis_alba	190411514													269852645				269852641															
Phasianidae_Tetraogallus_caspius								156763805																									
Scolopacidae_Calidris_subminuta					257153915																												
Cisticolidae_Apalis_porphyrolaema																					160222010	160690387											
Psittacidae_Aratinga_acuticaudata					197254553																												
Passeridae_Passer_ammodendri					257155649			18481732																									
Tyrannidae_Anairetes_fernandezianus								3746631													3746613												
Estrildidae_Uraeginthus_bengalus														46325861																			
Pardalotidae_Smicrornis_brevirostris					290464580			7229316													294471147								289584046				
Strigidae_Strix_nebulosa					116878007			22797302																				171919967					
Pardalotidae_Gerygone_igata				303305572																	307829175												
Fringillidae_Conirostrum_albifrons	21644732					21644915		21616569													21644793												
Turdidae_Entomodestes_leucotis								22034648										306959699			58618509					306959872		34582532					
Coraciidae_Eurystomus_orientalis	19401359				134269271			19401391						56131088							19401426												
Cacatuidae_Eolophus_roseicapillus	164520658							33340955													169787682									187765554	194246176	187949956	
Phoenicopteridae_Phoeniconaias_minor										29422280	29422189										161898788												
Passeridae_Quelea_quelea								165929883													19481428												
Anatidae_Aix_sponsa	2213681				51102234			3088655		29422277											3088777												
Cuculidae_Cuculus_poliocephalus								3834526													3834464												
Fringillidae_Seiurus_aurocapilla	21644763			22085540	117372491	21645039		22085464					302703117	28916035				302703538	302703330		21644855									302703666	302703749		
Fringillidae_Curaeus_curaeus					197255177			6048440													6563147												
Pycnonotidae_Hypsipetes_propinquus	18251081																																
Zosteropidae_Chlorocharis_emiliae																					220900675	220900403											
Phasianidae_Crossoptilon_auritum					260400348			22725638													212717409												
Caprimulgidae_Caprimulgus_macrurus								290466925												290467189								94483146					
Thamnophilidae_Myrmotherula_klagesi								304272683					301323074								301323160	301322980											
Tyrannidae_Myiozetetes_luteiventris																												241994231	241994591				
Strigidae_Otus_elegans								159461512																									
Ptilonorhynchidae_Chlamydera_cerviniventris								4098261																									
Apodidae_Aerodramus_francicus								37812748													37812864												
Accipitridae_Haliaeetus_albicilla	84468574				112383541			67038100						66736063							66735006												
Meliphagidae_Lichenostomus_cratitius													326378178								327321769												
Tyrannidae_Attila_rufus					159156527																												
Corvidae_Corvus_splendens					326578315																												
Fringillidae_Oryzoborus_angolensis					197256107			10799231													224999120												
Cracidae_Mitu_mitu					37720537	37720509		37720557													37720577		37720603										
Trogonidae_Harpactes_orrhophaeus																					54299637	316891752						54299696			316992359		
Nectariniidae_Nectarinia_notata						34501248																34501318											
Fringillidae_Serinus_pusillus				195963934	257156313	198246364		46562385														198246500									195964015		
Anatidae_Anas_superciliosa	5738212					5759235		3088733													3088853												
Meropidae_Merops_orientalis													154184421								156100663										154537670		
Gruidae_Grus_leucogeranus								896428						95020599																			
Furnariidae_Synallaxis_cabanisi																					299767171												
Corvidae_Artamus_cinereus																					110631354												
Fringillidae_Hemispingus_melanotis								12745142													18446466												
Turdidae_Catharus_occidentalis	166707732							22034694						22034643				167369797			22034728					187481155							
Sturnidae_Scissirostrum_dubium					151336274	151336534							149729116	151336114				93211346			149729270							93211276		151336760			
Accipitridae_Buteo_brachyurus					116831939	281307634		281307847					281308176								281308017												
Anatidae_Amazonetta_brasiliensis	6318698				197254367			3088657													3088779							18845020					
Furnariidae_Gyalophylax_hellmayri																												221063035	221062839				
Meliphagidae_Myzomela_cineracea																					99030254												
Corvidae_Coracina_tenuirostris				125487250																	125487338												
Megapodiidae_Leipoa_ocellata								63086799	272474396					63086736		63086839					17222827									17222883			
Thamnophilidae_Myrmotherula_iheringi																					299767163												
Strigidae_Surnia_ulula					51102198			22797322						28916021														171919979					
Ptilonorhynchidae_Sericulus_aureus								169412246													169411966												
Sulidae_Papasula_abbotti								1890880																		325461451							
Strigidae_Ninox_rufa								170787113																				171919927					
Eurylaimidae_Smithornis_rufolateralis		193879352	167987323	18845795			193879046	21805490			193881202	193999404	193999742	194000137	154529345		193881706	21805624	193881880	194240932		45511367		194021165	194205086		193880260	18845941	38324999	194240620	193878436		
Sturnidae_Sturnus_nigricollis					151336294	151336564							149729124	151336123				93211354			149729290					189035490		93211284		151336774	151335983		
Dicaeidae_Dicaeum_agile																					256576093	256576009									256576137		
Columbidae_Columba_junoniae								186966866						186966942							186966904												
Trogonidae_Trogon_bairdii								86451934													183447486												
Meliphagidae_Lichenostomus_ornatus					290464616								326378202								327321793												
Indicatoridae_Indicator_exilis								94421621						94421592							99030658												
Campephagidae_Coracina_maxima																		307147414			307147502					307147362							
Anatidae_Dendrocygna_autumnalis	6318719				116876793			6731216																									
Thamnophilidae_Percnostola_leucostigma						62824325															62824387	62824449											
Sturnidae_Lamprotornis_unicolor					151336208	151336435															149729424												
Fringillidae_Agelaius_xanthophthalmus								6048433													6563125												
Muscicapidae_Chaimarrornis_leucocephalus								82796713										295001678			301670391												
